Photon Energy 0,hor_size 0,Photon Energy 1,hor_size 1,Photon Energy 3,hor_size 3,Photon Energy 5,hor_size 5,Photon Energy 7,hor_size 7,Photon Energy 9,hor_size 9,Photon Energy 11,hor_size 11
156883.12025276062,3.019603301714638e-05,16281.026893491673,3.030399498730425e-05,48843.08068047502,3.022586144599917e-05,81405.13446745838,3.0211239432413538e-05,113967.18825444172,3.02054463675959e-05,146529.24204142508,3.0202399157244075e-05,179091.2958284084,3.0200494511488702e-05
160878.11435796885,3.0195724337133433e-05,16475.964421422363,3.0302573314559918e-05,49427.893264267084,3.0225361769605642e-05,82379.82210711182,3.0210912560676297e-05,115331.75094995653,3.0205187981808623e-05,148283.67979280127,3.020217680096082e-05,181235.60863564597,3.0200294677115563e-05
164873.10846317708,3.019543061326846e-05,16670.90194935305,3.030118482547067e-05,50012.70584805915,3.022487377095118e-05,83354.50974676525,3.0210593329931116e-05,116696.31364547135,3.0204935636642765e-05,150038.11754417745,3.0201959643246145e-05,183379.92144288355,3.0200099514904782e-05
168868.1025683853,3.0195150784279995e-05,16865.839477283742,3.0299828371611827e-05,50597.51843185122,3.0224397045390283e-05,84329.1973864187,3.0210281475348194e-05,118060.87634098617,3.0204689122716577e-05,151792.55529555367,3.020174750389701e-05,185524.23425012114,3.0199908862895737e-05
172863.09667359354,3.0194883886985324e-05,17060.77700521443,3.0298502856947675e-05,51182.331015643285,3.0223931206759152e-05,85303.88502607215,3.020997674419631e-05,119425.439036501,3.0204448240214637e-05,153546.99304692989,3.0201540210943982e-05,187668.54705735872,3.019972256652811e-05
176858.09077880176,3.0194629045214043e-05,17255.714533145117,3.029720723487777e-05,51767.14359943535,3.022347588633245e-05,86278.5726657256,3.0209678895159722e-05,120790.00173201584,3.02042127983477e-05,155301.43079830607,3.020133760018629e-05,189812.8598645963,3.0199540478224e-05
180853.08488401,3.0194385460199342e-05,17450.65206107581,3.0295940505480862e-05,52351.95618322742,3.0223030731849928e-05,87253.26030537905,3.0209387697700836e-05,122154.56442753065,3.020398261484871e-05,157055.86854968226,3.0201139514758034e-05,191957.1726718339,3.0199362456998053e-05
184848.07898921822,3.0194152402215155e-05,17645.589589006497,3.0294701712941187e-05,52936.76876701949,3.022259540660751e-05,88227.9479450325,3.0209102931465104e-05,123519.12712304547,3.0203757515502218e-05,158810.30630105847,3.0200945804723168e-05,194101.48547907145,3.019918836809336e-05
188843.07309442645,3.019392920327457e-05,17840.527116937184,3.0293489943143164e-05,53521.58135081155,3.0222169588607988e-05,89202.63558468594,3.0208824385724944e-05,124883.68981856029,3.0203537333704643e-05,160564.7440524347,3.0200756326696983e-05,196245.79828630906,3.0199018082641297e-05
192838.06719963468,3.0193715250735698e-05,18035.464644867876,3.0292304321421813e-05,54106.39393460362,3.022175296976667e-05,90177.32322433937,3.0208551858859645e-05,126248.25251407512,3.0203321910053035e-05,162319.18180381088,3.0200570943492166e-05,198390.1110935466,3.019885147734337e-05
196833.0613048429,3.0193509981686076e-05,18230.402172798567,3.029114401045724e-05,54691.20651839569,3.0221345255168063e-05,91152.01086399282,3.0208285157868712e-05,127612.81520958996,3.0203111091960235e-05,164073.6195551871,3.0200389523787546e-05,200534.4239007842,3.0198688434173496e-05
200828.05541005114,3.0193312877997257e-05,18425.33970072925,3.029000820830258e-05,55276.019102187754,3.022094616236962e-05,92126.69850364627,3.0208024097916018e-05,128977.37790510477,3.0202904733294406e-05,165828.0573065633,3.0200211941817854e-05,202678.73670802178,3.0198528840099148e-05
204823.04951525936,3.0193123461957973e-05,18620.277228659943,3.0288896146535534e-05,55860.83168597983,3.022055542074926e-05,93101.38614329972,3.0207768501902612e-05,130341.9406006196,3.020270269404127e-05,167582.4950579395,3.0200038077083003e-05,204823.04951525936,3.019837258682004e-05
